SKU Code,Style,Category,Sub Category,stock_on_hand,Quantity-Jan,Quantity-Feb,Quantity-Mar,Qty-Avg,Turnover
MTS00003-Green-M,MTS00003,Men's Apparel,T-Shirts,450,0.0,0.0,0.0,0.0,inf
FLT00001-Blue-M,FLT00001,Women's Apparel,Leggings & Tights,440,0.0,0.0,0.0,0.0,inf
FTS00037-White-M,FTS00037,Women's Apparel,Tops,380,0.0,0.0,0.0,0.0,inf
MPS00014-Dark Blue-M,MPS00014,Men's Apparel,Polo Shirts,340,0.0,0.0,0.0,0.0,inf
FSH00002-Dark Blue-M,FSH00002,Women's Apparel,Shorts,320,0.0,0.0,0.0,0.0,inf
MPS00010-White-S,MPS00010,Men's Apparel,Polo Shirts,310,0.0,0.0,0.0,0.0,inf
FTS00009-Black-S,FTS00009,Women's Apparel,Tops,280,0.0,0.0,0.0,0.0,inf
MJN00002-Dark Blue-L,MJN00002,Men's Apparel,Jeans,280,0.0,0.0,0.0,0.0,inf
FDS00003-White-M,FDS00003,Women's Apparel,Dresses,280,0.0,0.0,0.0,0.0,inf
FDS00003-White-S,FDS00003,Women's Apparel,Dresses,280,0.0,0.0,0.0,0.0,inf
FJC00001-White-M,FJC00001,Women's Apparel,Jackets & Coats,270,0.0,0.0,0.0,0.0,inf
FTS00197-Green-S,FTS00197,Women's Apparel,Tops,270,0.0,0.0,0.0,0.0,inf
MPS00016-Red-XL,MPS00016,Men's Apparel,Polo Shirts,270,0.0,0.0,0.0,0.0,inf
MCK00001-Grey-S,MCK00001,Men's Apparel,Cardigans & Knitwear,260,0.0,0.0,0.0,0.0,inf
MJN00004-Light Blue-L,MJN00004,Men's Apparel,Jeans,260,0.0,0.0,0.0,0.0,inf
FSH00004-White-M,FSH00004,Women's Apparel,Shorts,250,0.0,0.0,0.0,0.0,inf
FTS00029-Orange-L,FTS00029,Women's Apparel,Tops,250,0.0,0.0,0.0,0.0,inf
FTS00026-Grey-M,FTS00026,Women's Apparel,Tops,250,0.0,0.0,0.0,0.0,inf
MLP00025-White-S,MLP00025,Men's Apparel,Long Pants,250,0.0,0.0,0.0,0.0,inf
MPS00015-White-L,MPS00015,Men's Apparel,Polo Shirts,240,0.0,0.0,0.0,0.0,inf
MLP00001-Black-L,MLP00001,Men's Apparel,Long Pants,240,0.0,0.0,0.0,0.0,inf
FTS00031-Blue-L,FTS00031,Women's Apparel,Tops,240,0.0,0.0,0.0,0.0,inf
FTS00037-Black-L,FTS00037,Women's Apparel,Tops,240,0.0,0.0,0.0,0.0,inf
MSR00001-White-S,MSR00001,Men's Apparel,Shorts,240,0.0,0.0,0.0,0.0,inf
FTS00018-Pink-L,FTS00018,Women's Apparel,Tops,240,0.0,0.0,0.0,0.0,inf
MPS00051-Black-L,MPS00051,Men's Apparel,Polo Shirts,240,0.0,0.0,0.0,0.0,inf
FHS00002-White-S,FHS00002,Women's Apparel,Hoodies & Sweatshirts,230,0.0,0.0,0.0,0.0,inf
FTS00032-Blue-XL,FTS00032,Women's Apparel,Tops,230,0.0,0.0,0.0,0.0,inf
FLP00002-White-S,FLP00002,Women's Apparel,Long Pants,230,0.0,0.0,0.0,0.0,inf
MPS00012-Green-XL,MPS00012,Men's Apparel,Polo Shirts,230,0.0,0.0,0.0,0.0,inf
MPS00052-Navy-M,MPS00052,Men's Apparel,T-Shirts,230,0.0,0.0,0.0,0.0,inf
MJN00003-Blue-M,MJN00003,Men's Apparel,Jeans,220,0.0,0.0,0.0,0.0,inf
FTS00105-Black-S,FTS00105,Women's Apparel,Tops,220,0.0,0.0,0.0,0.0,inf
MPS00017-Grey-S,MPS00017,Men's Apparel,Polo Shirts,210,0.0,0.0,0.0,0.0,inf
MSR00022-White-S,MSR00022,Men's Apparel,Shorts,210,0.0,0.0,0.0,0.0,inf
FDS00031-Black-M,FDS00031,Women's Apparel,Dresses,210,0.0,0.0,0.0,0.0,inf
MPS00051-Blue-S,MPS00051,Men's Apparel,Polo Shirts,210,0.0,0.0,0.0,0.0,inf
FSH00002-Grey-L,FSH00002,Women's Apparel,Shorts,200,0.0,0.0,0.0,0.0,inf
MTS00059-Black-S,MTS00059,Men's Apparel,T-Shirts,200,0.0,0.0,0.0,0.0,inf
MTS00276-Grey-L,MTS00276,Men's Apparel,T-Shirts,200,0.0,0.0,0.0,0.0,inf
FTS00022-White-M,FTS00022,Women's Apparel,Tops,200,0.0,0.0,0.0,0.0,inf
FTS00024-White-S,FTS00024,Women's Apparel,Tops,200,0.0,0.0,0.0,0.0,inf
MPS00043-Navy-L,MPS00043,Men's Apparel,Polo Shirts,190,0.0,0.0,0.0,0.0,inf
MJN00001-White-M,MJN00001,Men's Apparel,Jeans,190,0.0,0.0,0.0,0.0,inf
FTS00197-Pink-S,FTS00197,Women's Apparel,Tops,190,0.0,0.0,0.0,0.0,inf
FSH00004-Grey-L,FSH00004,Women's Apparel,Shorts,180,0.0,0.0,0.0,0.0,inf
FDS00033-Black-M,FDS00033,Women's Apparel,Dresses,180,0.0,0.0,0.0,0.0,inf
FTS00009-Blue-M,FTS00009,Women's Apparel,Tops,180,0.0,0.0,0.0,0.0,inf
SLB00004-Blue-L,SLB00004,Sports,Sports Lifestyle Bottoms,180,0.0,0.0,0.0,0.0,inf
FSH00003-Black-XL,FSH00003,Women's Apparel,Shorts,180,0.0,0.0,0.0,0.0,inf
FHS00003-Black-M,FHS00003,Women's Apparel,Hoodies & Sweatshirts,180,0.0,0.0,0.0,0.0,inf
FTS00003-White-S,FTS00003,Women's Apparel,Tops,180,0.0,0.0,0.0,0.0,inf
FTS00009-Blue-S,FTS00009,Women's Apparel,Tops,180,0.0,0.0,0.0,0.0,inf
MHS00001-White-S,MHS00001,Men's Apparel,Hoodies & Sweatshirts,180,0.0,0.0,0.0,0.0,inf
MPS00051-Maroon-S,MPS00051,Men's Apparel,Polo Shirts,180,0.0,0.0,0.0,0.0,inf
SLT00004-Maroon-S,SLT00004,Sports,Sports Lifestyle Tops,180,0.0,0.0,0.0,0.0,inf
MPS00020-Black-S,MPS00020,Men's Apparel,Polo Shirts,170,0.0,0.0,0.0,0.0,inf
MJN00005-White-M,MJN00005,Men's Apparel,Jeans,170,0.0,0.0,0.0,0.0,inf
MPS00013-Orange-M,MPS00013,Men's Apparel,Polo Shirts,170,0.0,0.0,0.0,0.0,inf
SLT00004-Dark Purple-M,SLT00004,Sports,Sports Lifestyle Tops,170,0.0,0.0,0.0,0.0,inf
MPS00095-Black-S,MPS00095,Men's Apparel,Polo Shirts,170,0.0,0.0,0.0,0.0,inf
MPS00095-Blue-S,MPS00095,Men's Apparel,Polo Shirts,160,0.0,0.0,0.0,0.0,inf
FTS00030-Navy-M,FTS00030,Women's Apparel,Tops,160,0.0,0.0,0.0,0.0,inf
FLP00003-White-S,FLP00003,Women's Apparel,Long Pants,160,0.0,0.0,0.0,0.0,inf
